text,complexity,domain
Hotspot tethering from my phone works fine but corporate WiFi on my laptop shows "Connected, no internet" since Monday morning. Only my device on SSID CorpWireless affected. No troubleshooting attempted. Please investigate,simple,NETWORKING
Reverse DNS lookups failing on my workstation — nslookup 10.50.0.1 returns "server failed" but forward lookups work fine. Only affects my machine at 10.50.0.44. No recent changes. PTR records may be misconfigured on the internal DNS zone,simple,NETWORKING
Firewall policy blocking my Outlook client from connecting to Exchange Online at smtp.office365.com on port 587 — web version of email loads fine. Colleagues on same floor connect through Outlook without issues. No policy change requested from my side,simple,NETWORKING
VPN client Cisco AnyConnect showing "Connection attempt has failed" with error code 14 on my Linux laptop. Windows machines on same user account connect fine. No OS updates installed this week. Likely a client compatibility issue,simple,NETWORKING
Proxy config missing from my new laptop build — IT provisioned it yesterday without proxy settings and now internet is blocked. Just need proxy.corp.internal:3128 added to system settings. P1 since I start customer demos in two hours,simple,NETWORKING
DHCP not assigning correct option 3 gateway to my VM guest at 192.168.30.77 — getting 192.168.30.254 instead of correct gateway 192.168.30.1. Scope config may have wrong router option. All physical machines on same VLAN get correct gateway,simple,NETWORKING
SSL cert on our internal Grafana instance at grafana.monitoring.internal expired three days ago — dashboards inaccessible to me without clicking through warnings. No other user has raised this yet. Certificate renewal request submitted but not actioned,simple,NETWORKING
Switch interface Gi0/5 on SW-IT-02 flapping up and down every few minutes — connected device is my desktop PC. Link light on NIC also flapping. Suspect faulty SFP or cable degradation. No physical changes made to this connection,simple,NETWORKING
NTP synchronization failing on firewall FW-BRANCH-02 — show ntp associations showing all peers as ".INIT." state. Peer 10.0.0.1 is reachable via ping from that device. NTP traffic may be filtered by local ACL on that firewall,simple,NETWORKING
NAT translation on EDGE-RTR-04 creating entry for wrong source IP — my machine at 10.60.0.88 showing in translation table as 10.60.0.89 which is my neighbor's device. IP conflict likely the cause. No static assignments configured on my end,simple,NETWORKING
Port forwarding for TCP 8080 to internal web server 10.25.0.15 stopped passing external traffic yesterday. No router changes were submitted this week. Server listening confirmed via netstat on the server itself. External connection just resets immediately,simple,NETWORKING
Bandwidth on my VoIP adapter throttled to 512 Kbps per monitoring graph — causing garbled calls. QoS policy probably misidentifying the device on SW-LOBBY-01 port Gi0/3. Model is Grandstream HT814. No configuration changes to the adapter,simple,NETWORKING
LLDP advertisement from SW-EDGE-01 not reaching my newly installed network monitoring probe on port Gi0/24 — running tcpdump shows zero LLDP frames arriving. Port confirmed up. LLDP enabled globally but possibly disabled at interface level on that port,simple,NETWORKING
ACL permitting only specific source IPs to management VLAN 99 — my new workstation at 10.99.0.61 not in the permit list. Cannot reach network devices for admin work. Just needs my IP added to the existing access list,simple,NETWORKING
QoS marking on packets leaving my workstation showing DSCP CS0 instead of CS3 — applications team says traffic should be CS3. NIC not applying DSCP markings. Only my machine affected. Windows DSCP policy may not be applied to my user profile,simple,NETWORKING
ARP table on SW-DIST-07 showing duplicate MAC entries for IP 10.75.0.10 — two MAC addresses resolving to same IP causing intermittent reachability for my server. IP conflict with another recently deployed VM. No static ARP configured,simple,NETWORKING
Trunk port Gi0/1 on SW-ACCESS-31 only allowing VLAN 1 per show interfaces trunk output — should allow VLANs 10 40 50 for devices on that switch. No change tickets filed for that port recently. Other trunk ports in same closet carry all VLANs correctly,simple,NETWORKING
Five analysts on the trading floor losing access to market data feeds over UDP every afternoon between 1430 and 1530 — rebooted the feed handler server once, no improvement. Network path not yet investigated. Feed provider confirmed no issues on their end,moderate,NETWORKING
OSPF redistribute connected causing routing loop between RTR-WAN-04 and RTR-WAN-05 — specific prefix 10.130.0.0/24 bouncing between both routers. Checked metric types — both E2. Added route-map filter on RTR-WAN-04 redistribution — loop reduced but not fully resolved on RTR-WAN-05,moderate,NETWORKING
BGP attribute manipulation on EDGE-RTR-05 — inbound route-map setting local-preference 50 for all prefixes from ISP peer AS7018 but some prefixes still showing local-pref 100. Six prefixes not matching route-map despite correct ACL. Debug bgp updates showing map not evaluating for those specific prefixes,moderate,NETWORKING
DHCP option 82 relay information being stripped by SW-DIST-09 before reaching DHCP server — server-based IP assignment by location failing for seven users on VLAN 55. Confirmed option 82 insertion configured on access switches. Distribution switch may be removing option before forwarding,moderate,NETWORKING
DNS SERVFAIL responses from internal resolver for six users querying newly delegated subdomain lab.research.corp — delegation NS records added to parent zone yesterday. Authoritative server for lab.research.corp at 10.200.0.53 reachable. Recursive resolver not following delegation — may have stale negative cache entry,moderate,NETWORKING
Load balancer Nginx Plus upstream health checks failing for backend node 10.140.0.22 — node returns HTTP 200 to manual curl but health endpoint path configured as /status instead of correct /health. Three users hitting error responses when routed to that node,moderate,NETWORKING
IPSec IKEv1 aggressive mode tunnel to legacy partner device failing after we upgraded our firewall — new firewall defaulting to main mode. Partner device only supports aggressive mode. Four partner integration users blocked. Config change to re-enable aggressive mode pending security review approval,moderate,NETWORKING
Routing policy on RTR-CORE-07 leaking summarized route 10.0.0.0/8 into external BGP session with partner AS65200 — should only be advertising specific /24 prefixes. Route-map applied to neighbor but summary route bypassing filter via network statement. Three partner network engineers reporting unexpected route in their tables,moderate,NETWORKING
Packet loss of 14 percent on the cross-connect between our cage and colo provider's meet-me room — both sides showing clean optics. Provider claims their patch is fine. OTDRs not yet run. Seven latency-sensitive applications affected. Intermittent loss only during business hours suggesting traffic-pattern correlation,moderate,NETWORKING
SD-WAN policy on EDGE-CAMPUS-02 applying wrong QoS class to SAP traffic — SAP HANA queries hitting best-effort queue instead of business-critical class. App-aware routing policy using port 3200 for SAP but HANA traffic uses 30015. Five finance users experiencing slow transaction commits,moderate,NETWORKING
Spanning tree dispute detected between SW-DIST-08 and SW-DIST-09 — both claiming designated role on the interconnect segment. Show spanning-tree inconsistentports showing dispute flag on both switches. Root cause unclear — possibly mismatched port type config between shared and point-to-point mode,moderate,NETWORKING
PPPoE LCP negotiation completing but IPCP stalling on CPE-SITE-19 — PPPoE session shows PAP authenticated but no IP assigned. BNG shows session in "IP assignment pending" state. RADIUS accepting auth but not returning Framed-IP-Address attribute for that specific user account,moderate,NETWORKING
Proxy whitelist at proxy.corp:8080 not passing WebSocket connections for four developers using real-time collaboration tools — HTTP polling fallback works but WebSocket upgrade request getting 403. Proxy config may not have CONNECT method allowed for websocket endpoints at ws.collab-tool.io,moderate,NETWORKING
NAT overload on RTR-SMB-01 exhausting PAT translations during morning peak — show ip nat statistics showing max translations reached at 0915 daily. Pool extended once from 500 to 1000 entries but hit limit again next day. Eight power users driving high connection counts per user,moderate,NETWORKING
QoS WRED drop policy on CORE-RTR-02 ge-0/0/2 interface dropping packets from wrong traffic class during congestion — AF31 traffic being dropped at same rate as BE despite configured thresholds. Six video streaming sessions affected during peak. WRED profile weights may be misconfigured for AF31 queue,moderate,NETWORKING
Full BGP table loss on edge routers EDGE-01 through EDGE-04 simultaneously at 11:53 UTC — 19,200 users lost internet access when a route-map applied to all peers incorrectly matched and denied every inbound prefix. Removed route-map from all peers — BGP sessions bounced but table taking 40 minutes to converge. Automation change window not properly reviewed,complex,NETWORKING
Cisco ASR 9001 chassis experiencing continuous FIB programming failures — "CEF-DLIB: encode failure" flooding syslog since 03:00. 6,800 routes not hardware-forwarded, all punted to slow-path. 4,100 production users seeing 300ms latency spikes. Restarted CEF process via process restart cef — error returned within 8 minutes. Cisco TAC engaged, SMU patch being evaluated,complex,NETWORKING
All 89 IPSec tunnels on Check Point R81.10 Security Gateway cluster dropped simultaneously at 0215 after IKE certificate auto-renewal failed silently — OPSEC log showing "no valid proposal" on all spokes. Phase 1 failing. Manual certificate re-import attempted on three spokes — IKE error changed to "peer certificate not trusted." CA chain incomplete on cluster members after renewal,complex,NETWORKING
whole DNS infrastructure is just broken right now — forward and reverse zones all returning SERVFAIL for 6,500 users. AD authentication failing because DCs can't resolve each other. We restarted DNS service on DNS-01 and DNS-02, still broken. Replication between DCs also failing now. Everything is cascading and we don't know where it started,complex,NETWORKING
Production spanning tree failure across campus after SW-CORE-03 Supervisor engine crashed mid-topology — STP root bridge role transferred to SW-ACCESS-07 which had no root guard configured, causing network-wide reconvergence lasting 13 minutes. 3,200 users impacted. SW-CORE-03 supervisor replaced, root bridge reclaimed but four access switches still showing blocked uplinks after reconvergence,complex,NETWORKING
OSPF Type-7 to Type-5 LSA translation broken at NSSA ABR RTR-ABR-02 after software upgrade — external routes from NSSA area 10 no longer appearing in area 0 backbone. 5,100 users in area 0 cannot reach resources in area 10. Confirmed Type-7 LSAs present in area 10 database. ABR translation process appears to have regression in new code version,complex,NETWORKING
BGP confederation topology change broke inter-AS path selection after AS65300 was split into AS65301 and AS65302 — paths through AS65302 showing as IBGP in some routers and EBGP in others causing MED comparison inconsistencies. 4,400 users experiencing suboptimal routing and intermittent drops. Tried adjusting confederation peer statements — sessions bounced but path selection still inconsistent,complex,NETWORKING
DNS amplification using our open resolvers generating 2.1 Gbps attack traffic — ISP null-routing our /22 prefix. Applied recursion restriction ACL limiting queries to RFC1918 sources only. Attack traffic shifted to RDATA amplification using NSEC3 records on our own zones. 7,300 internal users affected. Zone NSEC3 records being stripped but authoritative server performance degrading,complex,NETWORKING
MPLS label imposition broken on PE-RTR-09 after LDP session with route reflector RR-LDP-01 dropped and re-established — 6,200 customer VPN routes now being forwarded without MPLS labels, causing VRF lookup failures on downstream P routers. Cleared LDP session four times — label bindings re-downloaded but imposition still not occurring for two specific VRFs,complex,NETWORKING
Global server load balancing completely wrong — F5 DNS listener returning DC-SECONDARY addresses to all users after DC-PRIMARY pool marked down by false-positive health check at 08:45. 10,400 users hitting undersized secondary site. Confirmed primary apps healthy. Health monitor probe source IP blocked by new WAF rule deployed overnight. WAF rule removed — GTM recovery taking 18 minutes,complex,NETWORKING
VPN infrastructure meltdown — Palo Alto PA-7080 gateway cluster lost HA sync at 0630 after management plane OOM event on primary. Failover happened but secondary had stale CRL cache causing certificate revocation check failures for all 5,800 remote users reconnecting. Cleared CRL cache on secondary — 40 percent of users reconnected. Remaining users hitting "gateway certificate invalid" error still,complex,NETWORKING
ACL change pushed via RESTCONF API to 70 distribution switches at 0100 accidentally inserted implicit deny before existing permit statements — 9,100 users lost access to inter-VLAN services from 0100-0630. API script had off-by-one error in ACE sequence numbering. Correction deployed to 58 switches. Twelve switches rejected API calls due to candidate config lock held by previous failed transaction,complex,NETWORKING
VLAN Trunking Protocol domain corruption cascaded through campus after legacy switch with VTP version 1 joined the network with higher revision number 847 — overwriting VLAN database on 110 modern switches. 7,200 users lost network access as 340 VLANs were wiped. Physical isolation of rogue switch completed. VLAN reconstruction from backup config ongoing — 65 switches still missing correct VLAN database after 2 hours,complex,NETWORKING
