text,complexity,domain
Intermittent WiFi drops on my iPhone in the cafeteria — disconnects for about 30 seconds then reconnects on its own. Hasn't been troubleshot at all. Just me affected. Can someone check AP-CAF-02 signal strength?,simple,NETWORKING
Unable to resolve external hostnames from my Linux workstation since this morning — dig @8.8.8.8 works fine but dig @10.0.0.53 returns REFUSED. Internal DNS seems misconfigured for my machine. No changes were made,simple,NETWORKING
Firewall is presenting a block page when I try to access our JIRA instance at jira.company.io — started this morning after IT pushed a content filter update. Colleagues on same floor unaffected. Please whitelist this,simple,NETWORKING
VPN keeps asking for MFA code twice during login — first code accepted then immediately prompted again and second attempt always fails. Only happens on my account. GlobalProtect 6.1.2 on Windows 11. No account changes made,simple,NETWORKING
Proxy authentication popup appearing every 5 minutes interrupting my work — credentials entered correctly but it keeps re-prompting. Single user issue. No GPO changes were announced. P1 for me since it breaks active screen recordings,simple,NETWORKING
DHCP not assigning address to my laptop on VLAN 25 in the new open-plan area — getting 0.0.0.0 after timeout. Colleagues nearby on same VLAN get addresses instantly. No config on my machine has changed at all,simple,NETWORKING
SSL cert on https://monitoring.ops.internal is self-signed and browsers are blocking it — IT said it would be replaced two weeks ago. Only me raising this ticket but affects anyone using that URL. Please fix,simple,NETWORKING
Switch port Gi1/0/6 on SW-MKTG-01 showing "suspended" state — connected device is a Ubiquiti UniFi AP-AC-Pro. Port was working last week. Nobody touched the cabling. Possibly BPDU guard triggered. Please investigate and restore,simple,NETWORKING
NTP sync broken on router RTR-SPOKE-03 — show ntp status returns "Clock is unsynchronized, stratum 16." NTP server 10.10.10.10 reachable via ping. No config changes made. Single device affected. Please correct NTP association,simple,NETWORKING
NAT overload rule on SOHO-RTR-01 not translating traffic from my desk segment 192.168.100.0/24 — internet unreachable while 192.168.1.0/24 users work fine. No changes requested from my side this week. Single subnet issue,simple,NETWORKING
Port forwarding for TCP 3389 to my remote workstation at 10.40.0.80 stopped working after the edge router was rebooted for patching Friday night. External RDP connection just times out. Internal RDP to same IP works fine,simple,NETWORKING
Bandwidth from my desk limited to roughly 10 Mbps down — speedtest and iperf3 both confirm. Gigabit everywhere else on this floor. No cable changes made. Please check autoneg settings on SW-SALES-03 port Gi0/22,simple,NETWORKING
LLDP not advertising from my newly provisioned server SRV-APP-09 — show lldp neighbors on connected switch shows nothing for that port. LLDP enabled globally. Server NIC is Intel X710. Suspect LLDP disabled at NIC driver level,simple,NETWORKING
ACL on distribution router DR-01 blocking UDP 514 from my syslog sender at 10.70.0.45 to collector at 10.70.0.200 — logs not arriving. TCP syslog to same collector works fine. Single source affected. Please add permit rule,simple,NETWORKING
QoS not prioritizing my VOIP traffic correctly — on calls my audio cuts out every few minutes but video is fine. Colleagues on same AP have great call quality. Is DSCP EF being honored for my MAC address?,simple,NETWORKING
ARP entries for subnet 10.25.0.0/24 not populating correctly on my workstation — can't reach hosts on that segment even though they're on same physical switch. Cleared arp cache, immediately incomplete again. Nobody else reports this,simple,NETWORKING
Trunk port between SW-ACCESS-12 and my desk patch panel showing only VLAN 1 active — should also carry VLANs 10 and 30 based on my role. Other ports on same switch carrying all three VLANs correctly. Single port issue,simple,NETWORKING
Four engineers in the network lab reporting packet loss to external destinations after the edge ACL was updated Thursday — internal traffic fine. Ran extended ping from each affected host, averaging 15 percent loss. No rollback done yet pending approval,moderate,NETWORKING
OSPF area 1 losing routes intermittently on RTR-WAN-02 and RTR-WAN-03 — both showing neighbor state stuck in EXSTART for 3-4 minutes before recovering. DBD exchange failing. MTU mismatch suspected but both interfaces showing 1500. Investigating,moderate,NETWORKING
BGP prefix count on EDGE-RTR-03 dropping by roughly 4,000 routes every afternoon around 1600 then recovering at 1700. ISP peer stays up throughout. Checked route-map — no time-based policies configured. Six users in MPLS-dependent sites notice the dip,moderate,NETWORKING
DHCP relay agent on RTR-DIST-04 not forwarding discover packets from VLAN 70 to DHCP server at 10.0.0.10 — eight workstations getting APIPA. Confirmed ip helper-address configured. Checked DHCP server — no requests arriving. Firewall between VLANs suspected,moderate,NETWORKING
DNS conditional forwarder for partner.external-corp.com returning NXDOMAIN for five users — forwarder configured on DNS-PRIMARY to forward to 203.0.113.10. Manually querying 203.0.113.10 returns correct answer. Suspect firewall blocking DNS-PRIMARY outbound UDP 53 to that specific IP,moderate,NETWORKING
Load balancer Citrix ADC VIP at 10.80.0.50 is marking all pool members down despite members responding to manual health checks. Monitors configured as HTTP GET /ping returning 200 OK. Four users completely unable to reach the application through VIP,moderate,NETWORKING
IPSec tunnel between SITE-SEATTLE and SITE-PORTLAND flapping since the ISP provisioned a new circuit — Phase 1 re-keying logs show "INVALID_KE_PAYLOAD." DH group mismatch suspected. Checked IKEv2 proposals on both peers — both show group 14. Deeper inspection needed,moderate,NETWORKING
Routing asymmetry detected between CORE-A and CORE-B for prefix 10.90.0.0/16 — outbound traffic taking CORE-A path but return traffic via CORE-B. Stateful firewall in-path dropping return packets. Six server-to-server flows affected. Adjusting OSPF cost on CORE-B uplink being evaluated,moderate,NETWORKING
Packet loss of 11 percent on the inter-datacenter dark fiber link between DC-EAST and DC-WEST measured via continuous iperf3 test. Physical layer cleared by facilities team — no errors on optics. QoS not suspected. Carrier notified but no technician dispatched yet. Five application flows affected,moderate,NETWORKING
