text,complexity,domain
WiFi keeps disconnecting on my laptop every few minutes in the open office area. No troubleshooting done yet. Happens only to me. Can someone check the access point or my wireless adapter settings?,simple,NETWORKING
DNS resolution failing on workstation WKSTN-042 — nslookup returns SERVFAIL for all external domains. Internal names resolve fine. No changes made recently. Please check DNS forwarder config or point me to correct server address,simple,NETWORKING
Firewall is blocking my access to our vendor portal at portal.acme-supply.com. Other sites load fine. Nothing changed on my end. IT flagged it low priority but I need this for purchase orders today please,simple,NETWORKING
VPN client on my MacBook shows connected but I cannot reach any internal resources. Getting this since yesterday morning. No changes made to laptop. Running Cisco AnyConnect 4.10 — error just says "network unreachable after tunnel established",simple,NETWORKING
Proxy configuration disappeared from Chrome after a forced browser update overnight. Cannot reach internet now. P1 for my workflow. Just need someone to push the correct proxy address and port back to my machine,simple,NETWORKING
DHCP not handing out an address to my new docking station — stuck on 169.254.0.0 range. Laptop plugged directly into wall jack. Same cable worked last week with old dock. Please send someone or advise fix,simple,NETWORKING
SSL certificate warning appearing on our internal ticketing system at https://helpdesk.corp.internal — Chrome showing NET::ERR_CERT_DATE_INVALID. Only affects me when using this specific browser. Certificate expired two days ago per the error details,simple,NETWORKING
Port forwarding rule for my hosted test server at 10.5.5.22 on TCP port 3000 stopped working after yesterday's maintenance window. External access completely broken. No firewall changes were requested from our team at all,simple,NETWORKING
Switch port Gi1/0/22 on SW-BLDG3-01 showing "err-disabled" state in monitoring. Device connected is a Cisco IP phone. Probably a PoE issue or BPDU guard trigger. No one touched the port. Just needs investigation and re-enabling,simple,NETWORKING
NTP sync broken on my Windows 11 workstation — clock is 18 minutes behind. Ran w32tm /resync and got error 0x800705B4. Time server is 10.0.0.5. No one else reporting this issue. Single machine problem only,simple,NETWORKING
NAT translation seems broken for just my PC at 192.168.1.114 — internal sites work perfectly fine but anything on the internet times out. My neighbor's machine on same desk works great. No config changes were made recently,simple,NETWORKING
LLDP neighbor discovery not populating for my workstation on SW-DIST-02 port Gi0/8. Moved desks last Thursday. Port shows up/up in interface brief. CDP table also empty for my MAC. Needs investigation please,simple,NETWORKING
Bandwidth on my wired connection dropped massively today — speedtest shows 1.4 Mbps instead of normal 100 Mbps. Rebooted PC, same result. Only happening to me. Please check if port is autoneg to wrong speed,simple,NETWORKING
ACL on the edge router seems to be blocking my RDP sessions to 10.20.30.45 — connection times out every attempt. Other protocols to same host work fine. P1 for remote support duties I perform daily,simple,NETWORKING
QoS markings on my softphone traffic appear to be getting dropped or re-marked somewhere between my desk and PBX. Voice quality is fine for everyone else. IT said it is low priority but calls are unusable,simple,NETWORKING
ARP entry for default gateway 10.10.10.1 showing incomplete on my workstation since this morning. Cleared with arp -d command, repopulates as incomplete immediately. Cannot route anywhere. Single user affected, no changes made yesterday,simple,NETWORKING
Trunk port configuration looks off — my PC is on VLAN 30 and I cannot reach the VLAN 30 file server, though ping to gateway works. Colleague on VLAN 20 has full access. Please verify VLAN assignment on my port,simple,NETWORKING
Seven users on floor three reporting intermittent WiFi drops — same issue, same AP zone, started after firmware push at 0200 this morning. Rebooted two APs already with no improvement. Users on adjacent floor unaffected completely,moderate,NETWORKING
BGP session between RTR-HQ-01 and our ISP peer 203.0.113.1 dropping once daily around 0300 UTC — hold timer expiring per logs. Keepalives sent correctly. ISP says their side stable. Affects roughly 200 users briefly. Packet capture scheduled,moderate,NETWORKING
OSPF adjacency between DIST-01 and DIST-02 flapping every 30 minutes since Tuesday. Hello timers match — both set to 10/40. Interface MTU verified at 1500 on both ends. Checked BFD — sessions stable. Root cause still unclear,moderate,NETWORKING
DHCP pool exhaustion suspected on VLAN 40 — scope shows 4 leases remaining out of 254. Eight users unable to get addresses this morning. Extended lease time as temporary fix but addresses not being released correctly. Investigating rogue DHCP clients,moderate,NETWORKING
DNS queries from the guest VLAN 99 timing out — affects all six users on guest network today. Forwarders on DNS server reachable from server itself but firewall rule between VLAN 99 and resolver may be dropping UDP 53 traffic,moderate,NETWORKING
Load balancer VIP at 10.1.2.100 returning 502 for approximately 20 percent of requests to the HR portal. All four backend nodes showing healthy in pool. Checked persistence profile — cookie insert mode. Suspect session table issue or backend timeout mismatch,moderate,NETWORKING
IPSec tunnel between HQ and SITE-DALLAS flapping every 45 minutes — Phase 1 stays up, Phase 2 renegotiates with error "no proposal chosen." Pre-shared keys verified identical on both ends. Encryption policy mismatch suspected but proposals look correct,moderate,NETWORKING
VPN split tunneling policy changed two days ago — four engineers now unable to reach on-premises lab at 10.100.0.0/16 through VPN. Others on same group policy unaffected. Tried re-enrolling two clients so far with no improvement,moderate,NETWORKING
Spanning tree topology change notifications spiking every 8 minutes on VLAN 200 across building B. Ran show spanning-tree detail — TCN counter climbing rapidly. PortFast not enabled on three identified access ports but disabling them didn't fully resolve,moderate,NETWORKING
SD-WAN policy on EDGE-SITE-09 sending video conferencing traffic over MPLS path instead of preferred broadband. QoS policy in vManage dashboard appears correct. Five meeting rooms affected. Rebooted edge device — issue returned after 10 minutes,moderate,NETWORKING
Packet loss of roughly 6 percent detected on uplink between ACCESS-SW-07 and DIST-SW-02 during morning peak hours only. Off-peak loss is zero. Interface utilization at 40 percent during drops. Checked for duplex mismatch — both sides full duplex,moderate,NETWORKING
Proxy auto-config script failing for three users after PAC file URL changed last week. Manual proxy entry works fine. Checked WPAD DNS record — it resolves correctly. GPO hasn't propagated to affected machines yet despite force gpupdate run,moderate,NETWORKING
PPPoE subscriber sessions on BRAS-01 dropping for 9 customers every night between 0100-0200. Sessions reconnect automatically after 2 minutes. RADIUS logs show normal authentication. LCP logs show remote-end initiated termination. ISP-side scheduled task suspected,moderate,NETWORKING
MPLS circuit between HQ and BRANCH-BOSTON showing increased latency — averaging 85ms instead of normal 12ms since Monday. Provider SLA ticket opened. Our PE router PE-EAST-01 showing no errors. QoS policy unchanged. Provider investigation ongoing with no update,moderate,NETWORKING
NTP stratum mismatch causing authentication failures for three Linux servers — Kerberos rejecting tickets due to 7-minute clock skew. Primary NTP server 10.0.0.1 unreachable from those servers due to new firewall rule added last Friday. Secondary server not configured,moderate,NETWORKING
VLAN 50 completely down across the entire production data center floor — 3,200 servers unreachable, application teams reporting total outage. Core switch CORE-SW-01 VLAN database shows VLAN 50 active but no traffic forwarding. STP root bridge election may have caused black hole,complex,NETWORKING
BGP full-table withdrawal from all three upstream providers simultaneously at 14:22 UTC — internet down for 8,500 users. Route reflectors showing idle peers. Tried clearing BGP sessions on RR-01 and RR-02, peers not re-establishing. Investigating prefix-list misconfiguration pushed via automation at 14:18,complex,NETWORKING
IPSec hub at HQ-FW-01 refusing IKEv2 negotiation with all 62 branch sites after certificate rotation — error "AUTH_FAILED: certificate verification failed." Phase 1 completes but IKE_AUTH exchange fails on every branch. Rolled back cert on five branches manually, same error. PKI chain suspected broken,complex,NETWORKING
firewall cluster FW-CLUSTER-A lost state sync between active and standby nodes at 09:15 — failover happened but standby took 11 minutes to pass traffic. 100 percent packet loss to 40 production VIPs during that window. HA heartbeat interface looks up. Sync config mismatch suspected,complex,NETWORKING
Core network completely wrecked right now — someone pushed an OSPF redistribution change at 2am and now we have routing loops everywhere. BGP prefixes leaking into OSPF area 0. Over 4,000 users across 8 sites with broken routing. Rolled back change script but loops persist on three routers,complex,NETWORKING
DNS infrastructure under amplification attack — recursive resolvers responding to spoofed sources at 1.2 Gbps. ISP threatening null-route of our /22. Applied ACLs to limit recursion but legitimate resolution also degraded — 5,500 internal clients affected. RPZ deployed, attack traffic still overwhelming uplinks,complex,NETWORKING
MPLS LDP sessions on PE-RTR-03 through PE-RTR-07 dropped simultaneously after NVRAM corruption during power event — label forwarding table cleared on all five PEs. 12 enterprise customer VPNs completely dark. 6,200 end users offline. Reloaded PE-RTR-03, LDP came up but route targets not re-importing correctly,complex,NETWORKING
