text,complexity,domain
Connecting to corporate WiFi on my Android phone keeps failing with "Authentication error" since password was rotated yesterday. Desktop in same room connects fine. No troubleshooting done yet. Please help me reconnect,simple,NETWORKING
DNS suffix search list disappeared from my workstation after a reboot — fully qualified names resolve but short hostnames fail. Only affecting me. No GPO changes announced. P1 since I use short names for dozens of scripts,simple,NETWORKING
Firewall blocking my browser access to our cloud backup dashboard at backup.veeam-cloud.io — started yesterday afternoon. No policy change requests submitted by my team. Other departments reach it fine. Please add exception,simple,NETWORKING
VPN split tunneling seems to have stopped working for my account — all my traffic going through the tunnel now including Netflix causing extreme slowness. Was working last week. No client changes made at all,simple,NETWORKING
Proxy exclusion list missing our internal Confluence server at confluence.internal.corp — every page load triggers proxy auth prompt and then fails. URGENT for my team documentation work today. Single user affected currently,simple,NETWORKING
DHCP lease renewal failing for my desktop every 8 hours — machine gets address initially at boot but renewal requests time out. Static assignment as workaround but not ideal. No scope changes that I know of,simple,NETWORKING
SSL certificate mismatch error on our internal Docker registry at registry.devops.internal — certificate CN is registry.old-domain.internal after domain migration last month. Only affects me since I push images daily. Needs reissue,simple,NETWORKING
Switch port on SW-RD-03 in the R&D lab showing input errors climbing steadily — 14,000 CRC errors in last hour on Gi0/19. Connected device is my workstation. Cable looks fine externally but may be faulty inside,simple,NETWORKING
NTP association on my Ubuntu server LAB-SRV-02 showing reach value of 0 in chronyc sources — server configured to use 10.1.1.5 as source but never syncing. Firewall rule between lab VLAN and NTP server may be blocking UDP 123,simple,NETWORKING
NAT rule on edge router EDGE-CORP-02 not translating my workstation's traffic — source IP 10.55.0.33 showing as untranslated in packet captures outside the NAT device. All other hosts on same /24 translate correctly,simple,NETWORKING
Port forwarding rule for TCP 2222 to SSH jump host at 10.15.0.5 not working after someone changed the external IP on the router last Tuesday. Old forwarding rule likely references previous WAN IP. Please update rule,simple,NETWORKING
Bandwidth severely restricted on my laptop's WiFi connection — 802.11ac capable but only negotiating at 54 Mbps. Other laptops on same AP hitting 400 Mbps. Driver likely forcing legacy mode. No config changes made recently,simple,NETWORKING
LLDP-MED not advertising network policy to my Yealink T46U phone on SW-VOICE-04 port Gi0/7 — phone booting on default VLAN instead of voice VLAN 65. LLDP-MED policy defined on switch but not applying to that port,simple,NETWORKING
ACL on VLAN 15 gateway blocking my machine's access to SNMP port 161 on network devices — monitoring script at 10.15.0.90 failing to poll. No other host on VLAN 15 runs monitoring queries. Please add permit for UDP 161,simple,NETWORKING
QoS policy on my VoIP adapter seems broken — calls fine for the first minute then choppy and dropping words. Colleagues on same switch have perfect call quality. Nothing changed on my desk setup in weeks. Please investigate,simple,NETWORKING
ARP gratuitous announcement from my new server SRV-DB-07 at 10.30.0.55 not updating stale entries on gateway — old MAC still cached. Ran arping -U -I eth0 10.30.0.55 — gateway still shows old MAC. Needs manual arp cache clear,simple,NETWORKING
Trunk port on SW-ACCESS-22 carrying VLANs 10 20 30 — VLAN 30 traffic missing after patch cable was swapped last night. VLANs 10 and 20 working fine. No config changes were made during the cable replacement at all,simple,NETWORKING
Seven users on the third floor marketing segment losing access to cloud SaaS apps every afternoon — local intranet resources stay up. Started Monday after BGP policy was adjusted on edge router. Rollback not yet approved by change board,moderate,NETWORKING
OSPF virtual link between area 5 and backbone not establishing on RTR-AREA5-01 — logs show "dead timer expired" for virtual link neighbor 10.200.200.1. Transit area 2 OSPF is stable. Checked virtual link config — transit area and neighbor ID confirmed correct on both ends,moderate,NETWORKING
BGP route reflector RR-CLUSTER-02 not reflecting prefixes from client RTR-LEAF-07 to other clients — only that one client's routes missing from other RR clients' tables. Checked cluster-id and route-reflector-client config on RR-CLUSTER-02. Adjacency to RTR-LEAF-07 is up and exchanging updates,moderate,NETWORKING
DHCP snooping dropping legitimate offers from our secondary DHCP server 10.0.0.20 on SW-DIST-06 — server connected to port not configured as trusted. Six users on VLAN 80 getting no addresses. Added trusted flag to server port but change needs verification across stack,moderate,NETWORKING
DNS split-horizon returning wrong zone data for vpn.company.com to four remote VPN users — external view returning public IP while connected clients need internal IP 10.100.0.50. Internal view policy exists but not matching VPN client source addresses correctly,moderate,NETWORKING
Load balancer HAProxy on LB-PROD-01 health checks marking node app-03 at 10.120.0.13 as down every 90 seconds then recovering — application team confirms no restarts on that node. Health check timeout may be too aggressive at current 2-second setting,moderate,NETWORKING
IPSec policy-based VPN between our ASA 5516-X and partner firewall rejecting traffic for new subnet 10.95.0.0/24 — crypto ACL updated on our side but partner has not yet mirrored the change. Three project users affected. Chasing partner IT team for update,moderate,NETWORKING
Routing table on RTR-BRANCH-14 missing default route after WAN link flapped this morning — DHCP-learned default from ISP not re-installing after interface came back up. ip dhcp client route add not configured on that interface. Four branch users unable to reach internet,moderate,NETWORKING
Packet loss of 8 percent on uplink between SW-ACCESS-18 and SW-DIST-04 detected via NetFlow analysis — loss occurring specifically during 1300-1400 window. Interface not saturated — peak utilization 42 percent. Input errors climbing slowly. Transceiver health check not yet performed. Five users on that access switch affected,moderate,NETWORKING
SD-WAN data policies on EDGE-BRANCH-06 not steering Microsoft 365 traffic to preferred DIA path — traffic going over MPLS backup. Office 365 application list in vManage policy appears outdated and not matching new M365 IP ranges published last month,moderate,NETWORKING
Spanning tree port role for Gi0/1 on SW-CORE-04 showing "alternate" unexpectedly — should be designated for that segment. Root bridge is correct at SW-CORE-01. Checked port cost — looks correct. No new switches recently added to that segment. TCN count elevated on that port,moderate,NETWORKING
PPPoE client on router CPE-OFFICE-07 negotiating MTU of 1492 correctly but large packets from internal hosts not being fragmented — TCP MSS clamping not configured on dialer interface. Four users experiencing broken downloads and HTTPS page loading issues for large pages,moderate,NETWORKING
Proxy CONNECT method being blocked for five developers trying to use git over HTTPS through corporate proxy at proxy.corp:8080 — regular HTTPS browsing works fine. Proxy access logs show CONNECT requests to github.com:443 denied by policy. Whitelist request submitted but pending review,moderate,NETWORKING
NAT reflection broken for our internal mail server at 10.0.50.10 — internal clients cannot reach it via public MX record IP 198.51.100.88. Direct internal IP works. DNS internal view not configured for that domain. Five email clients affected when using autodiscover,moderate,NETWORKING
QoS egress shaping policy on WAN interface of RTR-HUB-01 misconfigured — total shaped rate set to 10 Mbps instead of 100 Mbps for the new fiber circuit installed last week. Eight remote sites experiencing congestion. Policy change in CAB review until tomorrow,moderate,NETWORKING
Total BGP table loss across all six edge routers simultaneously at 06:22 UTC — 17,500 users lost internet access when automated maintenance script accidentally issued clear ip bgp * soft in on all peers simultaneously. Peers re-establishing but full table convergence taking 35 minutes. Script had no peer selector guard — reviewing all automation immediately,complex,NETWORKING
Juniper EX9208 core switch in chassis slot 3 experiencing continuous FPC restarts — "MQSS_CELL_ERROR: uncorrectable memory error" every 4-7 minutes causing VLAN 1-500 instability. 5,400 production users seeing packet loss. Failover to redundant RE did not resolve — error appears hardware-bound on FPC. JTAC engaged, replacement FPC en route,complex,NETWORKING
All 76 branch IPSec tunnels on Cisco FTD 4120 hub failed at 0400 after PKI auto-enrollment renewed the identity certificate with wrong SubjectAltName — IKEv2 returning "TS_UNACCEPTABLE" on all spokes. Phase 1 completes. Certificate SAN now shows hub.new-domain.com but spokes still sending IKE to hub.old-domain.com. Manual SAN correction attempted on three spokes — same failure,complex,NETWORKING
firewall cluster completely lost it this morning after upgrade — blocking internal east-west traffic it never touched before, letting weird stuff through on the perimeter. 8,100 users and 400 servers affected across three VLANs. We tried rolling back the firmware but the passive node won't accept the downgrade package. TAC engaged 2 hours ago still waiting,complex,NETWORKING
Production spanning tree meltdown — 2,800 users offline for 11 minutes after a contractor created a bridging loop between two access switches while moving patch cables. BPDU guard absent on affected ports. Root bridge re-elected four times during event. Loop eliminated but SW-ACCESS-33 and SW-ACCESS-34 showing inconsistent port states even after reconvergence,complex,NETWORKING
OSPF area 0 completely destabilized — RTR-CORE-01 through RTR-CORE-06 all hitting max-lsa threshold of 750,000 entries and entering ignore state simultaneously. A decommission script accidentally re-distributed a full BGP table including 480,000 internet routes into OSPF. 4,700 users losing routing. Tried removing redistribution — router rejecting config due to dependent route-map not resolving,complex,NETWORKING
